id,split,source_dataset,title,text,combined_clean,y_true,y_pred,score,confidence,error_type
12084.json,test,liar,,"Says a YouTube video shows Thomas DiMassimo, the man who rushed Trump at an Ohio rally, dragging the American flag on the ground like it was a piece of garbage.","says a youtube video shows thomas dimassimo, the man who rushed trump at an ohio rally, dragging the american flag on the ground like it was a piece of garbage.",1,0,8.101920603450591e-05,0.4999189807939655,false_negative
376.json,test,liar,,"A mailer from the Obama campaign ""accurately indicates"" that Hillary Clinton would ""force uninsured people to buy insurance, even if they can't afford it.""","a mailer from the obama campaign ""accurately indicates"" that hillary clinton would ""force uninsured people to buy insurance, even if they can't afford it.""",1,0,0.0001263490645761156,0.4998736509354239,false_negative
12906.json,test,liar,,"In Hillary Clintons tax returns, you saw a lot of income coming from donors to the Clinton Foundation and people who benefitted from her State Department term as well.","in hillary clintons tax returns, you saw a lot of income coming from donors to the clinton foundation and people who benefitted from her state department term as well.",1,0,0.00014905285185354817,0.49985094714814643,false_negative
12994.json,test,liar,,"The Clinton Foundation is a charity where President and Secretary Clinton and their daughter, they take no salary, they get no money from it, they take no personal benefit from it.","the clinton foundation is a charity where president and secretary clinton and their daughter, they take no salary, they get no money from it, they take no personal benefit from it.",1,0,0.00024456491215774583,0.49975543508784226,false_negative
10493.json,test,liar,,The Obama administration is refusing to directly arm the Kurds.,the obama administration is refusing to directly arm the kurds.,1,0,0.0002807868382612425,0.4997192131617388,false_negative
7685.json,test,liar,,"Right now, if Rhode Island police come across a young person with a gun, they really dont legally have the right to take it away from them.","right now, if rhode island police come across a young person with a gun, they really dont legally have the right to take it away from them.",1,0,0.00028681984460122745,0.4997131801553988,false_negative
11083.json,test,liar,,Says Bill and Hillary Clinton attended Donald Trumps last wedding.,says bill and hillary clinton attended donald trumps last wedding.,1,0,0.0002930338806078502,0.49970696611939214,false_negative
8567.json,test,liar,,"Says Thomas Jefferson said, You might be able to fool the people for awhile, and they may go astray, but sooner or later the American people are going to wake up and they will correct the course.","says thomas jefferson said, you might be able to fool the people for awhile, and they may go astray, but sooner or later the american people are going to wake up and they will correct the course.",1,0,0.00030753403508518106,0.49969246596491484,false_negative
2394.json,test,liar,,Roy Barnes is like Barack Obama because theyre both doing a lot of apologizing.,roy barnes is like barack obama because theyre both doing a lot of apologizing.,1,0,0.0003143645111017605,0.4996856354888982,false_negative
9437.json,test,liar,,"Under Wisconsin law, anyone who knows anything about a John Doe secret criminal investigation cant talk about it.","under wisconsin law, anyone who knows anything about a john doe secret criminal investigation cant talk about it.",1,0,0.00031730938916300883,0.499682690610837,false_negative
11802.json,test,liar,,Says his views on reparations for slavery are the same as Barack Obamas and Hillary Clintons.,says his views on reparations for slavery are the same as barack obamas and hillary clintons.,1,0,0.0003327007594380234,0.49966729924056197,false_negative
2552.json,test,liar,,"Rand Paul wants us to pay $2,000 just to get Medicare.","rand paul wants us to pay $2,000 just to get medicare.",1,0,0.00035478636200311385,0.4996452136379969,false_negative
12098.json,test,liar,,"Says DonaldTrump got, you know, $1.8 billion worth of free media. I got, like, none.","says donaldtrump got, you know, $1.8 billion worth of free media. i got, like, none.",1,0,0.00040214956269452555,0.4995978504373055,false_negative
9333.json,test,liar,,"When you read the Koran, it talks about dont take Christians and Jews as your friends.","when you read the koran, it talks about dont take christians and jews as your friends.",1,0,0.0004653149076394424,0.49953468509236054,false_negative
13134.json,test,liar,,Says Donald Trump publicly invited Putin to hack into Americans (emails).,says donald trump publicly invited putin to hack into americans (emails).,1,0,0.00048270532602558467,0.49951729467397443,false_negative
11230.json,test,liar,,Says Scott Walkers plan to replace Obamacare is a new entitlement program for every single American human being from the time they are born right up until they grow old and become eligible for Medicare.,says scott walkers plan to replace obamacare is a new entitlement program for every single american human being from the time they are born right up until they grow old and become eligible for medicare.,1,0,0.0004952195098578684,0.49950478049014213,false_negative
7565.json,test,liar,,"Quite frankly, it was during the Bush years of spending, multiplied now by the Obama years that we have this mess.","quite frankly, it was during the bush years of spending, multiplied now by the obama years that we have this mess.",1,0,0.0005058034019389329,0.49949419659806105,false_negative
9248.json,test,liar,,A white family is likely to have about six times as much wealth than a black or Hispanic family coming out of the recession.,a white family is likely to have about six times as much wealth than a black or hispanic family coming out of the recession.,1,0,0.0005816563979319655,0.49941834360206805,false_negative
1084.json,test,liar,,"Now, there was a time when someone like Scalia and Ginsburg got 95-plus votes.","now, there was a time when someone like scalia and ginsburg got 95-plus votes.",1,0,0.000585962683270143,0.49941403731672984,false_negative
2443.json,test,liar,,"The total number of dollars that passes through the Department of Development is like $900 million and like $650 (million) of it has nothing to do with development, which is breathtaking when you think about it.","the total number of dollars that passes through the department of development is like $900 million and like $650 (million) of it has nothing to do with development, which is breathtaking when you think about it.",1,0,0.0006020382513937528,0.49939796174860623,false_negative
31.json,test,liar,,"""Tommy Thompson created the first school choice program in the nation, giving thousands of Milwaukee students the choice of where they go to school no matter where they live or how much money their parents make.""","""tommy thompson created the first school choice program in the nation, giving thousands of milwaukee students the choice of where they go to school no matter where they live or how much money their parents make.""",1,0,0.0006650761104785777,0.49933492388952144,false_negative
11256.json,test,liar,,"Bernie Sanders opposesthe Trans-Pacific Partnership, and Hillary Clinton supportsit.","bernie sanders opposesthe trans-pacific partnership, and hillary clinton supportsit.",1,0,0.0007282268173765941,0.4992717731826234,false_negative
5603.json,test,liar,,Says a study shows that children who live with a biological parent and the parents boyfriend or girlfriend have a 20 times greater chance of being sexually abused.,says a study shows that children who live with a biological parent and the parents boyfriend or girlfriend have a 20 times greater chance of being sexually abused.,1,0,0.0007350221539367588,0.4992649778460632,false_negative
255.json,test,liar,,"""The fact of the matter is that my colleague from New York, Senator Clinton, there are 50 percent of the American public that say they're not going to vote for her.""","""the fact of the matter is that my colleague from new york, senator clinton, there are 50 percent of the american public that say they're not going to vote for her.""",1,0,0.0007676603828156661,0.49923233961718433,false_negative
7665.json,test,liar,,Polls show that Americans overwhelmingly support expanding background checks.,polls show that americans overwhelmingly support expanding background checks.,1,0,0.0007845215764145907,0.49921547842358543,false_negative
11004.json,test,liar,,"If you want to vote in Texas, you can use a concealed-weapon permit as a valid form of identification, but a valid student ID isnt good enough.","if you want to vote in texas, you can use a concealed-weapon permit as a valid form of identification, but a valid student id isnt good enough.",1,0,0.0008129435104349608,0.499187056489565,false_negative
9864.json,test,liar,,Scott Walker cut school funding more per student than any governor in America.,scott walker cut school funding more per student than any governor in america.,1,0,0.0008176294947784887,0.4991823705052215,false_negative
6560.json,test,liar,,"If you look at the number of illegal immigrants coming into the country, it is net zero. Its been that way now for almost two years.","if you look at the number of illegal immigrants coming into the country, it is net zero. its been that way now for almost two years.",1,0,0.0008391998541916247,0.4991608001458084,false_negative
12599.json,test,liar,,"If you are a member of union, your median weekly income is roughly $200 more than if you are a nonunion member, and that doesnt include benefits.","if you are a member of union, your median weekly income is roughly $200 more than if you are a nonunion member, and that doesnt include benefits.",1,0,0.0008649321824095117,0.4991350678175905,false_negative
9107.json,test,liar,,Says Sen. Mitch McConnell is the No. 1 recipient of contributions from lobbyists this cycle.,says sen. mitch mcconnell is the no. 1 recipient of contributions from lobbyists this cycle.,1,0,0.0008951338670166805,0.4991048661329833,false_negative
12037.json,test,liar,,"Says Barack Obama has the legal authority to let in really however many refugees he wants, from whatever country.","says barack obama has the legal authority to let in really however many refugees he wants, from whatever country.",1,0,0.0009451441608884282,0.4990548558391116,false_negative
9432.json,test,liar,,"In February, John McCain suggested the Bergdahl-Taliban swap that he now calls outrageous and dangerous.","in february, john mccain suggested the bergdahl-taliban swap that he now calls outrageous and dangerous.",1,0,0.0010663740232504985,0.4989336259767495,false_negative
6811.json,test,liar,,"Chinese tire imports threatened 1,000 American jobs, so President Obama stood up to China and protected American workers. Mitt Romney attacked Obamas decision.","chinese tire imports threatened 1,000 american jobs, so president obama stood up to china and protected american workers. mitt romney attacked obamas decision.",1,0,0.0011720877418528646,0.49882791225814715,false_negative
6.json,test,liar,,"""Barack Obama and Hillary Clinton have changed their positions (on the Iraq war withdrawal) to follow Chris Dodd.""","""barack obama and hillary clinton have changed their positions (on the iraq war withdrawal) to follow chris dodd.""",1,0,0.0011723005478586873,0.49882769945214134,false_negative
9047.json,test,liar,,"Says Dan Patrick supported giving a $5,000 taxpayer-funded voucher to every family to buy a car.","says dan patrick supported giving a $5,000 taxpayer-funded voucher to every family to buy a car.",1,0,0.0011831468503990677,0.49881685314960095,false_negative
11777.json,test,liar,,"Today, if you were raised poor, youre just as likely to stay poor as you were 50 years ago.","today, if you were raised poor, youre just as likely to stay poor as you were 50 years ago.",1,0,0.0013170771900962465,0.49868292280990373,false_negative
7051.json,test,liar,,Says JimRenacci has consistently voted for loopholes that encourage outsourcing of our jobs.,says jimrenacci has consistently voted for loopholes that encourage outsourcing of our jobs.,1,0,0.0013212720619052837,0.4986787279380947,false_negative
8929.json,test,liar,,"As a result of climate change, ice fishermen in Wisconsin are already noticing fewer days they can be out on our ice covered lakes.","as a result of climate change, ice fishermen in wisconsin are already noticing fewer days they can be out on our ice covered lakes.",1,0,0.0013540102825243894,0.4986459897174756,false_negative
1052.json,test,liar,,"""Obama has more czars than the Romanovs.""","""obama has more czars than the romanovs.""",1,0,0.0013586505383362312,0.4986413494616638,false_negative
814.json,test,liar,,"""The race will tighten, just because that's what happens at the end of campaigns. They always have.""","""the race will tighten, just because that's what happens at the end of campaigns. they always have.""",1,0,0.0013715111985725806,0.4986284888014274,false_negative
5779.json,test,liar,,Georgias HOPE scholarship is still the richest scholarship program in America.,georgias hope scholarship is still the richest scholarship program in america.,1,0,0.001380570856046608,0.4986194291439534,false_negative
2596.json,test,liar,,Says Chris Dudley thinks Oregons minimum wage is too high.,says chris dudley thinks oregons minimum wage is too high.,1,0,0.001414273317927034,0.49858572668207296,false_negative
9080.json,test,liar,,You can buy lobster with food stamps.,you can buy lobster with food stamps.,1,0,0.0014191438610284414,0.4985808561389716,false_negative
12943.json,test,liar,,Under Hillary Clintons plan illegal immigrants convicted of committing crimes get to stay.,under hillary clintons plan illegal immigrants convicted of committing crimes get to stay.,1,0,0.0014493999818382013,0.4985506000181618,false_negative
12461.json,test,liar,,Sayvideo shows massive alligator strolling across Florida golf course.,sayvideo shows massive alligator strolling across florida golf course.,1,0,0.001538624363693861,0.49846137563630616,false_negative
8159.json,test,liar,,"Says that each year, about 25,000 American women become pregnant through rape or incest.","says that each year, about 25,000 american women become pregnant through rape or incest.",1,0,0.0015557316304819389,0.49844426836951805,false_negative
3112.json,test,liar,,"Says that 98,184 Texans are now driving with temporary drivers licenses lacking their photos.","says that 98,184 texans are now driving with temporary drivers licenses lacking their photos.",1,0,0.0015597607525377486,0.4984402392474622,false_negative
10424.json,test,liar,,America is No. 1 in wind power.,america is no. 1 in wind power.,1,0,0.0015671817226164924,0.4984328182773835,false_negative
9622.json,test,liar,,More women are graduating from college now than men.,more women are graduating from college now than men.,1,0,0.0017326925480765547,0.49826730745192344,false_negative
73.json,test,liar,,"""Each year, 18,000 people die in America because they don't have health care.""","""each year, 18,000 people die in america because they don't have health care.""",1,0,0.0017432564259131705,0.49825674357408684,false_negative
